id,shop_no,original_name,clean_name,district,excise_range,search_query,google_maps_url,address,latitude,longitude,rating,reviews_count,timings,phone_number,signature_dishes,vibe_summary,geocoded,menu_extracted,verified,website
35,14,Anayara,Anayara,Thiruvananthapuram,Kattakkada,"Anayara Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
36,15,Kannanmoola,Kannanmoola,Thiruvananthapuram,Kattakkada,"Kannanmoola Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
37,16,Pattom-Plamoodu,Pattom-Plamoodu,Thiruvananthapuram,Kattakkada,"Pattom-Plamoodu Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
38,17,Nandancode,Nandancode,Thiruvananthapuram,Kattakkada,"Nandancode Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
39,18,Kesavadasapuram,Kesavadasapuram,Thiruvananthapuram,Kattakkada,"Kesavadasapuram Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
40,19,Kudappanakunnu,Kudappanakunnu,Thiruvananthapuram,Kattakkada,"Kudappanakunnu Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
41,20,Peroorkada,Peroorkada,Thiruvananthapuram,Kattakkada,"Peroorkada Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
42,21,Kanjirampara,Kanjirampara,Thiruvananthapuram,Kattakkada,"Kanjirampara Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
43,22,Edapazhanji,Edapazhanji,Thiruvananthapuram,Kattakkada,"Edapazhanji Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
44,23,Thycaud,Thycaud,Thiruvananthapuram,Kattakkada,"Thycaud Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
45,24,Kulasekharam,Kulasekharam,Thiruvananthapuram,Kattakkada,"Kulasekharam Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
46,1,Arasumoodu,Arasumoodu,Thiruvananthapuram,Kazhakuttom,"Arasumoodu Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
47,2,Manvila,Manvila,Thiruvananthapuram,Kazhakuttom,"Manvila Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
48,3,Kulathoor,Kulathoor,Thiruvananthapuram,Kazhakuttom,"Kulathoor Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
49,4,Arattuperuvazhi,Arattuperuvazhi,Thiruvananthapuram,Kazhakuttom,"Arattuperuvazhi Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
50,5,Kazhakuttom Town,Kazhakuttom Town,Thiruvananthapuram,Kazhakuttom,"Kazhakuttom Town Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
51,6,Menamkulam,Menamkulam,Thiruvananthapuram,Kazhakuttom,"Menamkulam Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
52,7,Pothencode,Pothencode,Thiruvananthapuram,Kazhakuttom,"Pothencode Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
53,8,Kadinamkulam,Kadinamkulam,Thiruvananthapuram,Kazhakuttom,"Kadinamkulam Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
